alpha_4,alpha_5,alpha_sum,alpha_diff,tau_p_years,w_0,theta_23_deg,m_KK_TeV,chi_squared
-8.0,8.5,0.5,-16.5,5.235276237922661e+34,-0.8490566037735849,-4.5,58.36308764964376,2742.1086578705535
-8.0,9.0,1.0,-17.0,6.720942995909986e+34,-0.8518518518518519,-6.0,60.20797289396148,2923.3086616877636
-8.0,9.5,1.5,-17.5,8.484024939692427e+34,-0.8545454545454545,-7.5,62.09871174187111,3119.164530749366
-8.0,10.0,2.0,-18.0,1.055197302918256e+35,-0.8571428571428571,-9.0,64.03124237432849,3331.983577018313
-7.5,-10.0,-17.5,2.5,6.694716823155015e+35,-0.5294117647058824,52.5,62.5,5464.393360911854
-7.5,-9.5,-17.0,2.0,5.371802786773031e+35,-0.5555555555555556,51.0,60.51859218455102,4240.037084669994
-7.5,-9.0,-16.5,1.5,4.272118163492811e+35,-0.5789473684210527,49.5,58.5768725692999,3388.7650064272093
-7.5,-8.5,-16.0,1.0,3.364111271903339e+35,-0.6,48.0,56.67892024377316,2794.613847451268
-7.5,-8.0,-15.5,0.5,2.619991600004919e+35,-0.6190476190476191,46.5,54.82928049865327,2375.910391438747
-7.5,-7.5,-15.0,0.0,2.0153200939582397e+35,-0.6363636363636364,45.0,53.03300858899106,2075.856729845699
-7.5,-7.0,-14.5,-0.5,1.528646246496518e+35,-0.6521739130434783,43.5,51.29571132170798,1855.5238702194297
-7.5,-6.5,-14.0,-1.0,1.1411862265309886e+35,-0.6666666666666666,42.0,49.623583103198015,1688.6742775724492
-7.5,-6.0,-13.5,-1.5,8.365370576728484e+34,-0.68,40.5,48.02343178074636,1557.9672373070223
-7.5,-5.5,-13.0,-2.0,6.004225096426034e+34,-0.6923076923076923,39.0,46.502688094345686,1452.2042690012718
-7.5,-5.0,-12.5,-2.5,4.204669297777014e+34,-0.7037037037037037,37.5,45.069390943299865,1364.3519122425946
-7.5,-4.5,-12.0,-3.0,2.8599372623103418e+34,-0.7142857142857143,36.0,43.73213921133975,1290.1412454055733
-7.5,-4.0,-11.5,-3.5,1.8784563182634937e+34,-0.7241379310344828,34.5,42.5,1227.0915078391024
-7.5,-3.5,-11.0,-4.0,1.1822423784986317e+34,-0.7333333333333333,33.0,41.38236339311712,1173.8422933852894
-7.5,-3.0,-10.5,-4.5,7.05465986806433e+33,-0.7419354838709677,31.5,40.38873605350877,1129.7073891627283
-7.5,-2.5,-10.0,-5.0,3.931697815453764e+33,-0.75,30.0,39.52847075210474,1094.3853301605407
-7.5,-2.0,-9.5,-5.5,2.001204288328265e+33,-0.7575757575757576,28.5,38.81043674065006,1067.7785937384592
-7.5,-1.5,-9.0,-6.0,8.978011464706634e+32,-0.7647058823529411,27.0,38.242646351945886,1049.8862148565383
-7.5,-1.0,-8.5,-6.5,3.338445909878388e+32,-0.7714285714285715,25.5,37.83186487605389,1040.7443630882842
-7.5,-0.5,-8.0,-7.0,9.115263254380093e+31,-0.7777777777777778,24.0,37.58324094593227,1040.396796815448
-7.5,0.0,-7.5,-7.5,1.3578503151017122e+31,-0.7837837837837838,22.5,37.5,1048.882659860003
-7.5,0.5,-7.0,-8.0,3.394520281663265e+29,-0.7894736842105263,21.0,37.58324094593227,1066.2332506574578
