alpha_4,alpha_5,alpha_6,chi_squared
-2.5,-1.5,2.375,143.149456859839
-2.5,-1.5,3.0,154.77742365280554
-2.5,-1.0,0.5,134.32963524505013
-2.5,-1.0,1.125,133.24692979093038
-2.5,-1.0,1.75,129.36295798482723
-2.5,-1.0,2.375,132.99948028812793
-2.5,-1.0,3.0,218.08899661217427
-2.5,-0.5,0.5,126.89331282779253
-2.5,-0.5,1.125,124.99526133075005
-2.5,-0.5,1.75,120.72952722263824
-2.5,-0.5,2.375,158.23749281556096
-2.5,-0.5,3.0,499.28792028450823
-2.5,0.0,0.5,126.6518513156699
-2.5,0.0,1.125,123.64943009044514
-2.5,0.0,1.75,123.86293896075432
-2.5,0.0,2.375,268.41437038751394
-2.5,0.0,3.0,1333.1418468837765
-2.5,0.5,0.5,133.44769773483185
-2.5,0.5,1.125,129.15821196530672
-2.5,0.5,1.75,147.0783644978545
-2.5,0.5,2.375,569.2403666262388
-2.5,0.5,3.0,3419.4859952379193
-2.5,1.0,0.5,147.42265097182434
-2.5,1.0,1.125,141.9918582050465
-2.5,1.0,1.75,207.50000653230583
-2.5,1.0,2.375,1266.190573721795
-2.5,1.0,3.0,8105.654673392992
-2.5,1.5,0.5,168.9457281603006
-2.5,1.5,1.125,163.23872594206887
-2.5,1.5,1.75,336.86196566260145
-2.5,1.5,2.375,2732.1590293961744
-2.5,1.5,3.0,17825.589166920035
-2.5,2.0,0.5,198.4649458055211
-2.5,2.0,1.125,194.71129404325177
-2.5,2.0,1.75,590.174427637902
-2.5,2.0,2.375,5608.900039208686
-2.5,2.0,3.0,36758.36759479491
-2.5,2.5,0.5,236.39203890506144
-2.5,2.5,1.125,239.20224227187086
-2.5,2.5,1.75,1058.4516702527178
-2.5,2.5,2.375,10954.882152719732
-2.5,2.5,3.0,71787.39030279395
-2.5,3.0,0.5,283.05583773993254
-2.5,3.0,1.125,300.96686440183055
-2.5,3.0,1.75,1886.9305948867539
-2.5,3.0,2.375,20455.623026389956
-2.5,3.0,3.0,133864.17015377828
