alpha_4,alpha_5,alpha_sum,alpha_diff,M_GUT_GeV,1/alpha_GUT,tau_p_years,tau_p_uncertainty_OOM,w_0,theta_23_deg,m_KK_TeV,chi_squared
-0.5,-0.19999999999999996,-0.7,-0.30000000000000004,1.611e+16,25.03,2.4952883794689455e+34,0.9119999999999999,-0.841897233201581,44.1,2.6925824040314907,24.92934589303674
-0.5,-0.09999999999999998,-0.6,-0.4,1.638e+16,24.98,2.677509394225158e+34,0.8960000000000001,-0.84251968503937,43.8,2.5495097572866827,24.182406341559876
-0.5,0.0,-0.5,-0.5,1.665e+16,24.93,2.869939066164242e+34,0.8800000000000001,-0.8431372549019608,43.5,2.5000000005,23.297272707337086
-0.5,0.10000000000000009,-0.3999999999999999,-0.6000000000000001,1.692e+16,24.88,3.072988708072083e+34,0.8640000000000001,-0.84375,43.2,2.5495097572866827,22.251584485730106
-0.5,0.20000000000000018,-0.2999999999999998,-0.7000000000000002,1.719e+16,24.83,3.287080570177514e+34,0.8480000000000001,-0.8443579766536965,42.9,2.692582404031491,21.083915328280742
-0.5,0.30000000000000004,-0.19999999999999996,-0.8,1.746e+16,24.78,3.5126480275740084e+34,0.8320000000000001,-0.8449612403100776,42.6,2.9154759478513967,19.879398558674175
-0.5,0.40000000000000013,-0.09999999999999987,-0.9000000000000001,1.773e+16,24.73,3.7501357708519066e+34,0.8160000000000001,-0.8455598455598455,42.3,3.2015621191068595,18.740116436819424
-0.5,0.5,0.0,-1.0,1.8e+16,24.68,4e+34,0.8,-0.8461538461538461,42.0,3.5355339062862914,17.762048723776
-0.5,0.6000000000000001,0.10000000000000009,-1.1,1.827e+16,24.63,4.262708621636494e+34,0.784,-0.8467432950191571,41.7,3.90512483827342,17.025712690136167
-0.5,0.7000000000000002,0.20000000000000018,-1.2000000000000002,1.854e+16,24.58,4.538741449630566e+34,0.768,-0.8473282442748091,41.4,4.301162633811933,16.595970494040653
-0.5,0.8,0.30000000000000004,-1.3,1.881e+16,24.53,4.828590409176937e+34,0.752,-0.8479087452471483,41.1,4.716990566293301,16.525320864908313
-0.5,0.9000000000000001,0.40000000000000013,-1.4000000000000001,1.908e+16,24.48,5.132759744387202e+34,0.736,-0.8484848484848485,40.8,5.147815070736322,16.85760356213586
-0.5,1.0,0.5,-1.5,1.935e+16,24.43,5.451766229462778e+34,0.7200000000000001,-0.8490566037735849,40.5,5.590169943973081,17.631070062149412
-0.3999999999999999,-1.0,-1.4,0.6000000000000001,1.422e+16,25.38,1.4732465464137797e+34,1.024,-0.8373983739837398,46.8,5.385164807366622,31.953066748408023
-0.3999999999999999,-0.9,-1.2999999999999998,0.5000000000000001,1.449e+16,25.33,1.5946429014189118e+34,1.008,-0.8380566801619433,46.5,4.924428901151889,30.13044855171126
-0.3999999999999999,-0.8,-1.2,0.40000000000000013,1.476e+16,25.28,1.7236598771494949e+34,0.992,-0.8387096774193549,46.2,4.472135955279088,28.604143738325252
-0.3999999999999999,-0.7,-1.0999999999999999,0.30000000000000004,1.503e+16,25.23,1.860637214253011e+34,0.976,-0.8393574297188755,45.9,4.031128874459362,27.361597945485038
-0.3999999999999999,-0.6,-0.9999999999999999,0.20000000000000007,1.53e+16,25.18,2.005924364054581e+34,0.96,-0.84,45.6,3.6055512758106767,26.38359134670178
-0.3999999999999999,-0.5,-0.8999999999999999,0.10000000000000009,1.557e+16,25.13,2.1598806550592645e+34,0.944,-0.8406374501992032,45.3,3.2015621191068586,25.640356500552095
-0.3999999999999999,-0.3999999999999999,-0.7999999999999998,0.0,1.584e+16,25.08,2.3228754622837803e+34,0.9279999999999999,-0.8412698412698413,45.0,2.828427125188131,25.08562750987417
-0.3999999999999999,-0.29999999999999993,-0.6999999999999998,-0.09999999999999998,1.611e+16,25.03,2.4952883794689455e+34,0.9119999999999999,-0.841897233201581,44.7,2.500000000499999,24.648549112459936
-0.3999999999999999,-0.19999999999999996,-0.5999999999999999,-0.19999999999999996,1.638e+16,24.98,2.677509394225158e+34,0.8959999999999999,-0.84251968503937,44.4,2.2360679780588057,24.22633612731317
-0.3999999999999999,-0.09999999999999998,-0.4999999999999999,-0.29999999999999993,1.665e+16,24.93,2.869939066164242e+34,0.8800000000000001,-0.8431372549019608,44.1,2.0615528134151693,23.68873223630365
-0.3999999999999999,0.0,-0.3999999999999999,-0.3999999999999999,1.692e+16,24.88,3.072988708072083e+34,0.8640000000000001,-0.84375,43.8,2.0000000006249996,22.91388814736937
-0.3999999999999999,0.10000000000000009,-0.2999999999999998,-0.5,1.719e+16,24.83,3.287080570177514e+34,0.8480000000000001,-0.8443579766536965,43.5,2.0615528134151693,21.854578076670506
-0.3999999999999999,0.20000000000000018,-0.19999999999999973,-0.6000000000000001,1.746e+16,24.78,3.5126480275740084e+34,0.8320000000000001,-0.8449612403100776,43.2,2.2360679780588066,20.576142392533416
-0.3999999999999999,0.30000000000000004,-0.09999999999999987,-0.7,1.773e+16,24.73,3.7501357708519066e+34,0.8160000000000001,-0.8455598455598455,42.9,2.500000000499999,19.218708089157147
-0.3999999999999999,0.40000000000000013,2.220446049250313e-16,-0.8,1.8e+16,24.68,4e+34,0.8,-0.8461538461538461,42.6,2.828427125188132,17.931136019815874
-0.3999999999999999,0.5,0.10000000000000009,-0.8999999999999999,1.827e+16,24.63,4.262708621636494e+34,0.784,-0.8467432950191571,42.3,3.2015621191068586,16.835307645552266
-0.3999999999999999,0.6000000000000001,0.20000000000000018,-1.0,1.854e+16,24.58,4.538741449630566e+34,0.768,-0.8473282442748091,42.0,3.605551275810677,16.021832963047554
-0.3999999999999999,0.7000000000000002,0.30000000000000027,-1.1,1.881e+16,24.53,4.828590409176937e+34,0.752,-0.8479087452471483,41.7,4.031128874459362,15.557560169994975
-0.3999999999999999,0.8,0.40000000000000013,-1.2,1.908e+16,24.48,5.132759744387202e+34,0.736,-0.8484848484848485,41.4,4.472135955279088,15.493838697150641
-0.3999999999999999,0.9000000000000001,0.5000000000000002,-1.3,1.935e+16,24.43,5.451766229462778e+34,0.72,-0.8490566037735849,41.1,4.92442890115189,15.87264579766596
-0.3999999999999999,1.0,0.6000000000000001,-1.4,1.962e+16,24.38,5.786139383515881e+34,0.7040000000000001,-0.849624060150376,40.8,5.385164807366622,16.730648694109096
-0.29999999999999993,-1.0,-1.2999999999999998,0.7000000000000001,1.449e+16,25.33,1.5946429014189118e+34,1.008,-0.8380566801619433,47.1,5.220153254694732,29.883964607225625
-0.29999999999999993,-0.9,-1.2,0.6000000000000001,1.476e+16,25.28,1.7236598771494949e+34,0.992,-0.8387096774193549,46.8,4.7434164905160925,28.15210079452173
-0.29999999999999993,-0.8,-1.1,0.5000000000000001,1.503e+16,25.23,1.860637214253011e+34,0.976,-0.8393574297188755,46.5,4.2720018729513685,26.736796453779
-0.29999999999999993,-0.7,-0.9999999999999999,0.4,1.53e+16,25.18,2.005924364054581e+34,0.96,-0.84,46.2,3.8078865532602193,25.630747320729295
-0.29999999999999993,-0.6,-0.8999999999999999,0.30000000000000004,1.557e+16,25.13,2.1598806550592645e+34,0.944,-0.8406374501992032,45.9,3.3541019666223626,24.82138733921682
-0.29999999999999993,-0.5,-0.7999999999999999,0.20000000000000007,1.584e+16,25.08,2.3228754622837803e+34,0.9279999999999999,-0.8412698412698413,45.6,2.9154759478513963,24.286858985226207
-0.29999999999999993,-0.3999999999999999,-0.6999999999999998,0.09999999999999998,1.611e+16,25.03,2.4952883794689455e+34,0.9119999999999999,-0.841897233201581,45.3,2.500000000499999,23.988549112459943
-0.29999999999999993,-0.29999999999999993,-0.5999999999999999,0.0,1.638e+16,24.98,2.677509394225158e+34,0.8959999999999999,-0.84251968503937,45.0,2.1213203441488977,23.857448113817668
-0.29999999999999993,-0.19999999999999996,-0.4999999999999999,-0.09999999999999998,1.665e+16,24.93,2.869939066164242e+34,0.8800000000000001,-0.8431372549019608,44.7,1.8027756384253695,23.772006698747546
-0.29999999999999993,-0.09999999999999998,-0.3999999999999999,-0.19999999999999996,1.692e+16,24.88,3.072988708072083e+34,0.8640000000000001,-0.84375,44.4,1.5811388308747587,23.537624580995693
